Time [s],Channel 0,Channel 1
4.846834200,0,0
4.846839400,1,0
4.846844450,0,0
4.846849600,1,0
4.846854650,0,0
4.846859850,1,0
4.846864900,0,0
4.846870050,1,0
4.846875100,0,0
4.846880300,1,0
4.846885350,0,0
4.846890500,1,0
4.846895550,0,0
4.846896750,0,1
4.846900700,1,1
4.846905750,0,1
4.846910950,1,1
4.846916000,0,1
4.846921150,1,1
4.846926200,0,1
4.846931400,1,1
4.846936450,0,1
4.846941600,1,1
4.846946650,0,1
4.846951850,1,1
4.846956900,0,1
4.846957900,0,0
4.846962050,1,0
4.846967100,0,0
4.846972300,1,0
4.846977350,0,0
4.846978200,0,1
4.846982500,1,1
4.846989550,1,0
4.846995550,0,0
4.846996700,0,1
4.847000700,1,1
4.847005750,0,1
4.847006750,0,0
4.847010950,1,0
4.847016000,0,0
4.847017150,0,1
4.847021150,1,1
4.847026200,0,1
4.847027200,0,0
4.847031400,1,0
4.847036450,0,0
4.847041600,1,0
4.847046650,0,0
4.847051850,1,0
4.847056900,0,0
4.847062050,1,0
4.847067100,0,0
4.847068300,0,1
4.847072250,1,1
4.847077350,0,1
4.847078050,0,0
4.847082500,1,0
4.847087550,0,0
4.847092700,1,0
4.847097750,0,0
4.847102950,1,0
4.847108000,0,0
4.847113150,1,0
4.847118200,0,0
4.847123400,1,0
4.847128450,0,0
4.847133600,1,0
4.847138650,0,0
4.847143850,1,0
4.847148900,0,0
4.847154050,1,0
4.847159100,0,0
4.847164250,1,0
4.847169300,0,0
4.847170200,0,1
4.847174500,1,1
4.847179550,0,1
4.847180550,0,0
4.847184700,1,0
4.847190950,1,1
5.412551950,1,0
5.412558000,0,0
5.412559150,0,1
5.412563100,1,1
5.412568200,0,1
5.412569200,0,0
5.412573350,1,0
5.412578400,0,0
5.412579600,0,1
5.412583600,1,1
5.412588650,0,1
5.412589650,0,0
5.412593800,1,0
5.412598850,0,0
5.412604050,1,0
5.412609100,0,0
5.412614250,1,0
5.412619300,0,0
5.412624500,1,0
5.412629550,0,0
5.412634700,1,0
5.412639750,0,0
5.412644900,1,0
5.412649950,0,0
5.412655150,1,0
5.412660200,0,0
5.412665350,1,0
5.412670400,0,0
5.412675600,1,0
5.412680650,0,0
5.412685800,1,0
5.412690850,0,0
5.412696050,1,0
5.412701100,0,0
5.412706250,1,0
5.412711300,0,0
5.412716500,1,0
5.412721550,0,0
5.412726700,1,0
5.412731750,0,0
5.412736900,1,0
5.412741950,0,0
5.412742850,0,1
5.412747150,1,1
5.412754200,1,0
5.412760200,0,0
5.412761350,0,1
5.412765350,1,1
5.412770400,0,1
5.412771400,0,0
5.412775600,1,0
5.412780650,0,0
5.412781800,0,1
5.412785800,1,1
5.412790850,0,1
5.412791850,0,0
5.412796050,1,0
5.412801100,0,0
5.412806250,1,0
5.412811300,0,0
5.412816450,1,0
5.412821550,0,0
5.412826700,1,0
5.412831750,0,0
5.412832950,0,1
5.412836900,1,1
5.412841950,0,1
5.412842700,0,0
5.412847150,1,0
5.412852200,0,0
5.412857350,1,0
5.412862400,0,0
5.412867600,1,0
5.412872650,0,0
5.412877800,1,0
5.412882850,0,0
5.412888050,1,0
5.412893100,0,0
5.412898250,1,0
5.412903300,0,0
5.412908500,1,0
5.412913550,0,0
5.412918700,1,0
5.412923750,0,0
5.412928900,1,0
5.412933950,0,0
5.412934850,0,1
5.412939150,1,1
5.412944200,0,1
5.412945200,0,0
5.412949350,1,0
5.412955600,1,1
5.413325400,1,0
5.413331400,0,0
5.413332550,0,1
5.413336550,1,1
5.413341650,0,1
5.413342650,0,0
5.413346800,1,0
5.413351850,0,0
5.413353050,0,1
5.413357000,1,1
5.413362100,0,1
5.413363050,0,0
5.413367250,1,0
5.413372300,0,0
5.413377450,1,0
5.413382500,0,0
5.413387700,1,0
5.413392750,0,0
5.413397900,1,0
5.413402950,0,0
5.413408150,1,0
5.413413200,0,0
5.413418350,1,0
5.413423400,0,0
5.413428600,1,0
5.413433650,0,0
5.413438800,1,0
5.413443850,0,0
5.413449000,1,0
5.413454100,0,0
5.413459250,1,0
5.413464300,0,0
5.413469450,1,0
5.413474500,0,0
5.413479700,1,0
5.413484750,0,0
5.413489900,1,0
5.413494950,0,0
5.413496150,0,1
5.413500150,1,1
5.413505200,0,1
5.413505900,0,0
5.413510350,1,0
5.413515400,0,0
5.413516250,0,1
5.413520600,1,1
5.413527650,1,0
5.413533650,0,0
